Name                                                           Stmts   Miss  Cover
----------------------------------------------------------------------------------
lightwood/__about__.py                                            10      0   100%
lightwood/__init__.py                                             10      0   100%
lightwood/analysis/__init__.py                                     2      0   100%
lightwood/analysis/acc_stats.py                                   81     24    70%
lightwood/analysis/explain.py                                    113      7    94%
lightwood/analysis/model_analyzer.py                             162     23    86%
lightwood/analysis/nc/__init__.py                                  0      0   100%
lightwood/analysis/nc/base.py                                     69     28    59%
lightwood/analysis/nc/icp.py                                     115     33    71%
lightwood/analysis/nc/nc.py                                      190     79    58%
lightwood/analysis/nc/norm.py                                     62      2    97%
lightwood/analysis/nc/util.py                                    103     17    83%
lightwood/analysis/nc/wrappers.py                                 42     20    52%
lightwood/api/__init__.py                                          6      0   100%
lightwood/api/dtype.py                                            17      0   100%
lightwood/api/encode.py                                           11      0   100%
lightwood/api/high_level.py                                       74     25    66%
lightwood/api/json_ai.py                                         217     14    94%
lightwood/api/predictor.py                                        13      2    85%
lightwood/api/types.py                                           197     32    84%
lightwood/data/__init__.py                                         7      0   100%
lightwood/data/cleaner.py                                        110     25    77%
lightwood/data/encoded_ds.py                                      90      4    96%
lightwood/data/infer_types.py                                    239    165    31%
lightwood/data/splitter.py                                        22      0   100%
lightwood/data/statistical_analysis.py                            70      9    87%
lightwood/data/timeseries_analyzer.py                             31      0   100%
lightwood/data/timeseries_transform.py                           186     34    82%
lightwood/encoder/__init__.py                                     24      2    92%
lightwood/encoder/audio/__init__.py                                1      0   100%
lightwood/encoder/audio/amplitude_ts.py                           38     26    32%
lightwood/encoder/base.py                                         24      8    67%
lightwood/encoder/categorical/__init__.py                          3      0   100%
lightwood/encoder/categorical/autoencoder.py                      78      1    99%
lightwood/encoder/categorical/binary.py                           52     18    65%
lightwood/encoder/categorical/gym.py                              93     27    71%
lightwood/encoder/categorical/multihot.py                         31      0   100%
lightwood/encoder/categorical/onehot.py                           74      4    95%
lightwood/encoder/datetime/__init__.py                             1      0   100%
lightwood/encoder/datetime/datetime.py                            66      5    92%
lightwood/encoder/image/__init__.py                                1      0   100%
lightwood/encoder/image/helpers/__init__.py                        0      0   100%
lightwood/encoder/image/helpers/img_to_vec.py                     44     32    27%
lightwood/encoder/image/img_2_vec.py                              54     39    28%
lightwood/encoder/numeric/__init__.py                              2      0   100%
lightwood/encoder/numeric/numeric.py                              97     12    88%
lightwood/encoder/numeric/ts_array_numeric.py                     43      8    81%
lightwood/encoder/numeric/ts_numeric.py                           89     37    58%
lightwood/encoder/text/__init__.py                                 5      0   100%
lightwood/encoder/text/helpers/__init__.py                         0      0   100%
lightwood/encoder/text/helpers/pretrained_helpers.py              33     20    39%
lightwood/encoder/text/helpers/rnn_helpers.py                    269    109    59%
lightwood/encoder/text/pretrained.py                             126     18    86%
lightwood/encoder/text/rnn.py                                     65      4    94%
lightwood/encoder/text/short.py                                   77      5    94%
lightwood/encoder/text/tfidf.py                                   18      1    94%
lightwood/encoder/text/vocab.py                                   31      0   100%
lightwood/encoder/time_series/__init__.py                          2      0   100%
lightwood/encoder/time_series/helpers/__init__.py                  0      0   100%
lightwood/encoder/time_series/helpers/common.py                   97      7    93%
lightwood/encoder/time_series/helpers/rnn_helpers.py              64      4    94%
lightwood/encoder/time_series/helpers/transformer_helpers.py      71      4    94%
lightwood/encoder/time_series/plain.py                            34     11    68%
lightwood/encoder/time_series/rnn.py                             305     94    69%
lightwood/encoder/type_encoder_maps/Array.py                       3      0   100%
lightwood/encoder/type_encoder_maps/Binary.py                      4      0   100%
lightwood/encoder/type_encoder_maps/Categorical.py                 4      0   100%
lightwood/encoder/type_encoder_maps/Date.py                        3      0   100%
lightwood/encoder/type_encoder_maps/DateTime.py                    3      0   100%
lightwood/encoder/type_encoder_maps/Float.py                       4      0   100%
lightwood/encoder/type_encoder_maps/Image.py                       1      0   100%
lightwood/encoder/type_encoder_maps/Integer.py                     4      0   100%
lightwood/encoder/type_encoder_maps/Quantity.py                    4      0   100%
lightwood/encoder/type_encoder_maps/Rich_Text.py                   5      0   100%
lightwood/encoder/type_encoder_maps/Short_Text.py                  5      0   100%
lightwood/encoder/type_encoder_maps/Tags.py                        4      0   100%
lightwood/encoder/type_encoder_maps/__init__.py                    0      0   100%
lightwood/ensemble/__init__.py                                     3      0   100%
lightwood/ensemble/base.py                                        16      1    94%
lightwood/ensemble/best_of.py                                     28      0   100%
lightwood/helpers/__init__.py                                      0      0   100%
lightwood/helpers/device.py                                       14      5    64%
lightwood/helpers/general.py                                      40     10    75%
lightwood/helpers/log.py                                           9      0   100%
lightwood/helpers/numeric.py                                      15      4    73%
lightwood/helpers/parallelism.py                                  37      7    81%
lightwood/helpers/seed.py                                          9      0   100%
lightwood/helpers/templating.py                                   30      3    90%
lightwood/helpers/text.py                                        186    129    31%
lightwood/helpers/torch.py                                        48      7    85%
lightwood/helpers/ts.py                                           24      0   100%
lightwood/model/__init__.py                                        8      0   100%
lightwood/model/base.py                                           15      2    87%
lightwood/model/helpers/__init__.py                                0      0   100%
lightwood/model/helpers/ar_net.py                                 29      1    97%
lightwood/model/helpers/default_net.py                            44     10    77%
lightwood/model/helpers/ranger.py                                 72      8    89%
lightwood/model/helpers/transform_corss_entropy_loss.py           10      0   100%
lightwood/model/lightgbm.py                                      151      7    95%
lightwood/model/lightgbm_array.py                                 47      1    98%
lightwood/model/neural.py                                        244      9    96%
lightwood/model/regression.py                                     46      0   100%
lightwood/model/sktime.py                                         74      9    88%
lightwood/model/unit.py                                           26      1    96%
----------------------------------------------------------------------------------
TOTAL                                                           5530   1253    77%
